title,company_name,description,skills_requirements,location,stipend,category,application_deadline,is_remote
Cloud Engineering Intern,Reliance,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cybersecurity, Data Analysis, Excel, Finance Basics, Java, Problem Solving, REST APIs, Statistics",Remote,15869-33076,Finance,2025-12-18,True
Marketing Intern,Adobe,Design and develop user-facing features while collaborating closely with design and product.,"Deep Learning, Docker, Machine Learning, NLP, PyTorch, Python, TensorFlow",Pune,11569-19977,Artificial Intelligence,2025-12-13,False
Machine Learning Intern,Freshworks,High-performing interns may be considered for full-time offers or extended internships.,"Excel, Java, Linux, NLP, TensorFlow",Delhi,22208-45731,Machine Learning,2026-04-08,False
Cybersecurity Intern,Uber,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cloud Computing, Docker, Git/GitHub, Kubernetes, Linux, React",Noida,12278-17569,Cloud / DevOps,2026-06-07,False
UI/UX Design Intern,Freshworks,Work on real-time projects used by thousands of users while learning from senior mentors.,"Creativity, Deep Learning, Excel, Java, Machine Learning, PyTorch, Python",Bangalore,,Machine Learning,2025-12-26,False
Marketing Intern,Adobe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Figma, Python, Statistics",Bangalore,24672-40792,Machine Learning,2026-06-28,False
NLP Intern,Intel,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Finance Basics, Git/GitHub, HTML/CSS, Machine Learning, REST APIs",Kolkata,6652-26751,Software Development,2026-06-25,False
Backend Developer Intern,Paytm,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Creativity, Data Analysis, Finance Basics, Leadership, Product Sense, Teamwork",Gurgaon,,Product,2026-05-18,False
Cloud Engineering Intern,Byjus,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Power BI, Problem Solving, Python, SQL",Chennai,24436-48457,Data Science,2026-02-21,False
DevOps Intern,Amazon,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Data Analysis, Teamwork",Kolkata,17011-32249,Marketing / Growth,2026-07-25,False
Product Management Intern,NVIDIA,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","AWS, Azure, Cloud Computing, Docker, Linux, Marketing Basics, SQL",Mumbai,,Cloud / DevOps,2026-03-12,False
Marketing Intern,Google,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Communication Skills, Creativity, Figma, Git/GitHub, NumPy, UI/UX Design",Kolkata,17088-19863,UI/UX Design,2026-03-16,False
Business Analyst Intern,Freshworks,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Excel, Leadership, Pandas, Problem Solving, Statistics",Gurgaon,12241-27171,Finance,2026-07-06,False
Cybersecurity Intern,Paytm,Design and develop user-facing features while collaborating closely with design and product.,"Cybersecurity, Data Analysis, Finance Basics",Ahmedabad,6702-24142,Finance,2025-12-24,False
